iter	Logloss
0	0.6777799925
1	0.6620426019
2	0.6464674963
3	0.6325645064
4	0.6185285296
5	0.603764098
6	0.5934371009
7	0.583045562
8	0.5716965708
9	0.5614894821
10	0.5520090552
11	0.5420663201
12	0.5341750272
13	0.5257079697
14	0.517612281
15	0.508888152
16	0.5004983684
17	0.4924410488
18	0.4849038553
19	0.4793621314
20	0.4713803894
21	0.4655796775
22	0.4594123047
23	0.4535712274
24	0.4476919869
25	0.4433846185
26	0.4380958538
27	0.4330481179
28	0.4288652676
29	0.4235056775
30	0.4189026472
31	0.4138041239
32	0.4088120025
33	0.4045225813
34	0.4006798127
35	0.3972975193
36	0.3931514721
37	0.3894459306
38	0.3862059524
39	0.3830334322
40	0.3792878114
41	0.3752750422
42	0.3724252282
43	0.3699693334
44	0.3665317487
45	0.3636558968
46	0.3607702641
47	0.3579743522
48	0.3555296725
49	0.3529654938
50	0.3501717135
51	0.3476759515
52	0.3451736111
53	0.3424996566
54	0.3401009873
55	0.3378162217
56	0.3356363177
57	0.3336271532
58	0.3314737167
59	0.3291818988
60	0.3271354459
61	0.3248641196
62	0.3230587863
63	0.321066315
64	0.3187229791
65	0.3164211665
66	0.314315099
67	0.3121651971
68	0.310512257
69	0.3087515488
70	0.3069511502
71	0.3051385267
72	0.3037033778
73	0.3022543672
74	0.3006988365
75	0.2990192465
76	0.2972760771
77	0.2960206743
78	0.2945907568
79	0.2933659693
80	0.2916134325
81	0.2897643772
82	0.2885818909
83	0.2869891728
84	0.28556335
85	0.2844191639
86	0.2829851741
87	0.2819717683
88	0.2805562086
89	0.2790353672
90	0.2773655183
91	0.2761032863
92	0.2747857837
93	0.2735144431
94	0.2723883277
95	0.2708217198
96	0.269619435
97	0.2682613511
98	0.2669581059
99	0.2661060262
100	0.2654262148
101	0.2641963203
102	0.2628798894
103	0.2614856914
104	0.2602776327
105	0.2592054039
106	0.2581598593
107	0.2572775971
108	0.2563234041
109	0.255204164
110	0.2540694169
111	0.252967234
112	0.2520695436
113	0.2506649023
114	0.2495868991
115	0.2484780759
116	0.2472063433
117	0.245947257
118	0.2447878607
119	0.2438034722
120	0.2426347132
121	0.2414930222
122	0.2404914772
123	0.2397537758
124	0.2384829465
125	0.2373406262
126	0.236286225
127	0.2354719608
128	0.2342636165
129	0.2331799925
130	0.2324681112
131	0.2313357272
132	0.230236824
133	0.2293710848
134	0.228504909
135	0.2274865392
136	0.2267362774
137	0.2264122478
138	0.2255195808
139	0.2245007129
140	0.2236017774
141	0.2223860212
142	0.2212608058
143	0.2202605095
144	0.2195511259
145	0.2185819677
146	0.2177007285
147	0.2170354798
148	0.2161581506
149	0.2154562896
150	0.2145707456
151	0.2135437072
152	0.2127450734
153	0.2122089416
154	0.2115140033
155	0.2106596977
156	0.2100703872
157	0.209105872
158	0.2082760395
159	0.2072995109
160	0.2063875605
161	0.2057660083
162	0.2048187382
163	0.2040466922
164	0.2032628424
165	0.2025172221
166	0.2017482699
167	0.2008675194
168	0.2001089441
169	0.1991870751
170	0.1985247478
171	0.1979159055
172	0.1971691245
173	0.1966701276
174	0.1959373669
175	0.1951451706
176	0.1945053129
177	0.193709901
178	0.1929940282
179	0.1921977784
180	0.1914116767
181	0.1907124222
182	0.1901238055
183	0.1899190407
184	0.1891959996
185	0.1885246156
186	0.1876875455
187	0.1867725329
188	0.1860409374
189	0.1855283039
190	0.1848884362
191	0.1841998424
192	0.1834481593
193	0.1828753117
194	0.182174678
195	0.1816781561
196	0.1812825692
197	0.1808117961
198	0.1802856268
199	0.1797505888
200	0.1788798118
201	0.1784480165
202	0.1777859467
203	0.1772281585
204	0.1764729336
205	0.1758284062
206	0.1753000006
207	0.1749083772
208	0.174448636
209	0.1738184125
210	0.1729560983
211	0.1724206311
212	0.1718776584
213	0.1712622841
214	0.170663836
215	0.1700984509
216	0.1695964524
217	0.1690206801
218	0.1683901486
219	0.1677983802
220	0.1671848118
221	0.1666458043
222	0.1659822837
223	0.1653337694
224	0.1647014545
225	0.1644047548
226	0.1638945141
227	0.1634412077
228	0.1628644411
229	0.162139763
230	0.1616411879
231	0.1610125154
232	0.1603912335
233	0.1600061193
234	0.1595901117
235	0.1591079086
236	0.1586732294
237	0.1580186958
238	0.1573512282
239	0.1567406565
240	0.1562732169
241	0.1556525119
242	0.1551706962
243	0.1544834964
244	0.1538932354
245	0.1534652938
246	0.1528542298
247	0.1523679813
248	0.1517206585
249	0.1511882339
250	0.15057418
251	0.1501962198
252	0.1497520789
253	0.1495245505
254	0.1491108748
255	0.1487030542
256	0.1482477366
257	0.1477650889
258	0.1471563255
259	0.1467988207
260	0.1462856692
261	0.1457637629
262	0.1453510275
263	0.1447269947
264	0.1444362559
265	0.1439821702
266	0.1436398133
267	0.1431442774
268	0.1425768413
269	0.1420812817
270	0.1415460647
271	0.1410066172
272	0.1404339726
273	0.1399556241
274	0.1395616324
275	0.1393256054
276	0.1387751933
277	0.1383519262
278	0.137775329
279	0.1374088086
280	0.1369760209
281	0.1364893044
282	0.1361688159
283	0.1356136969
284	0.1350706706
285	0.1346909453
286	0.1344528239
287	0.1341635637
288	0.1336917731
289	0.1332581498
290	0.1328302362
291	0.1325291616
292	0.1321354713
293	0.1317416924
294	0.131180464
295	0.1307834878
296	0.130464326
297	0.1299733099
298	0.1296651492
299	0.1292743859
300	0.1288030141
301	0.1285064738
302	0.128211479
303	0.1278263175
304	0.1274646907
305	0.127189003
306	0.1268076074
307	0.1265280939
308	0.1261146356
309	0.1257462345
310	0.1253465585
311	0.1248438984
312	0.1245598335
313	0.1241935048
314	0.1239033477
315	0.1233834347
316	0.1229642662
317	0.122694656
318	0.1221496664
319	0.121834133
320	0.1213876565
321	0.1210225555
322	0.1205574427
323	0.1201460668
324	0.1197775436
325	0.1193130413
326	0.118894404
327	0.1185311844
328	0.1182404939
329	0.117778249
330	0.1173899841
331	0.1171295353
332	0.1168675183
333	0.1166866613
334	0.1163206744
335	0.116087873
336	0.1158222559
337	0.1154223942
338	0.115150933
339	0.114850198
340	0.1145374848
341	0.1142100151
342	0.1139295489
343	0.1135153489
344	0.1131644018
345	0.1128436115
346	0.1126329717
347	0.1124805458
348	0.1122112569
349	0.1117912084
350	0.1114359141
351	0.1110267814
352	0.1107168779
353	0.1105157514
354	0.1101296528
355	0.1098389979
356	0.1095370903
357	0.1092304907
358	0.1087996182
359	0.1083481227
360	0.1081398236
361	0.1079024052
362	0.1076023868
363	0.1072208641
364	0.1069286006
365	0.1066480896
366	0.1062124495
367	0.1059243185
368	0.1056993289
369	0.1053427467
370	0.1050863682
371	0.1046826397
372	0.1045087638
373	0.1043035393
374	0.1041170611
375	0.1038568367
376	0.1036449129
377	0.103320988
378	0.1030784652
379	0.1027062254
380	0.1023969429
381	0.1020872143
382	0.1017626555
383	0.1015289405
384	0.1012600724
385	0.1010971423
386	0.1007388271
387	0.1005800867
388	0.1002601937
389	0.09990550352
390	0.09961583032
391	0.09929946069
392	0.09903591023
393	0.09883511547
394	0.09867871184
395	0.09832428942
396	0.09810383347
397	0.09782907708
398	0.09748760023
399	0.09722504066
400	0.09693847317
401	0.09665139739
402	0.09647817533
403	0.09632310925
404	0.09621531165
405	0.09602301618
406	0.09577049044
407	0.09547465285
408	0.09524720613
409	0.09494981732
410	0.09469847753
411	0.09444448344
412	0.09424346397
413	0.09410473423
414	0.09382842975
415	0.0935842048
416	0.09336731541
417	0.09312117155
418	0.09295549025
419	0.09268552906
420	0.09240317052
421	0.09214216315
422	0.0919346802
423	0.09172087435
424	0.09135999672
425	0.09110934552
426	0.09089975136
427	0.09058613602
428	0.09048893273
429	0.09021386439
430	0.08996082665
431	0.08979010517
432	0.08950668054
433	0.08916878444
434	0.08886359413
435	0.08867895237
436	0.08855987257
437	0.08836137546
438	0.08813860716
439	0.08801056064
440	0.0878130186
441	0.08755674888
442	0.08737246629
443	0.08710911513
444	0.08692525617
445	0.08673866189
446	0.08654741192
447	0.08631450643
448	0.08612456347
449	0.08593582419
450	0.08571664551
451	0.08552532168
452	0.08530394896
453	0.08508733264
454	0.08484142769
455	0.08472814857
456	0.08457908796
457	0.08438365347
458	0.0841207874
459	0.083865882
460	0.08374407264
461	0.0835096266
462	0.08339120049
463	0.08309593055
464	0.08290121468
465	0.08265520395
466	0.08243858827
467	0.08219609102
468	0.08203948859
469	0.0817973605
470	0.08151944661
471	0.08139408708
472	0.0811312412
473	0.08083796857
474	0.08059886169
475	0.08032355494
476	0.08005432063
477	0.07984646036
478	0.07961176564
479	0.07939176357
480	0.07921750164
481	0.07902219773
482	0.07882270727
483	0.07863008193
484	0.07841132331
485	0.07820686815
486	0.07800455442
487	0.07780793385
488	0.07758151491
489	0.07738102902
490	0.07720995682
491	0.07704758636
492	0.0769395649
493	0.07670927498
494	0.07651211545
495	0.076414549
496	0.07616970388
497	0.07605118042
498	0.07592914516
499	0.07574631851
500	0.07564519714
501	0.07549806827
502	0.07536621762
503	0.07514805014
504	0.07490215943
505	0.07465556659
506	0.07449054724
507	0.07435373169
508	0.07412698779
509	0.07398323936
510	0.0738258905
511	0.07367876995
512	0.07354791055
513	0.07340642609
514	0.07318299817
515	0.07296989805
516	0.07283160703
517	0.07268374835
518	0.07247815593
519	0.07230975235
520	0.07219746675
521	0.07196467264
522	0.07176685963
523	0.07152822585
524	0.07137791335
525	0.07121987824
526	0.07105792317
527	0.07090361786
528	0.07071675964
529	0.07057857418
530	0.07041170055
531	0.07022939434
532	0.07010232115
533	0.06991440216
534	0.06974808051
535	0.06949480062
536	0.06937700946
537	0.06920873794
538	0.06907199068
539	0.06888699382
540	0.06880509877
541	0.06868313103
542	0.06857165769
543	0.06845151149
544	0.06830650966
545	0.06816802531
546	0.06800999899
547	0.06788765733
548	0.06770860505
549	0.06761123706
550	0.067486439
551	0.06734278991
552	0.0672436771
553	0.06710279327
554	0.06695531313
555	0.06677175745
556	0.06659810102
557	0.06644197155
558	0.06626730722
559	0.06605531931
560	0.06591559184
561	0.06576990582
562	0.06562757069
563	0.06547862342
564	0.065314258
565	0.06516867153
566	0.06504281919
567	0.06486903649
568	0.06470814888
569	0.06454165606
570	0.06436909178
571	0.06424685801
572	0.06408528937
573	0.06394146667
574	0.06380409297
575	0.06369167941
576	0.06356498466
577	0.0633720857
578	0.06319293662
579	0.06308645784
580	0.06294705733
581	0.06283974941
582	0.06273955192
583	0.06258964608
584	0.06249855198
585	0.06234131218
586	0.06217529413
587	0.06204279256
588	0.06191060811
589	0.06182304026
590	0.06163515034
591	0.06156649526
592	0.06136787197
593	0.06121197755
594	0.06104364244
595	0.06089955365
596	0.06079005537
597	0.06067603593
598	0.0605901514
599	0.06046395555
600	0.06033876063
601	0.06021303746
602	0.06008519018
603	0.05994207804
604	0.05983084889
605	0.05966744483
606	0.05949729931
607	0.05941308469
608	0.05933390097
609	0.05921218657
610	0.05911460112
611	0.05904021757
612	0.0589401496
613	0.0588746091
614	0.05876904098
615	0.05864884829
616	0.05850548592
617	0.05839521518
618	0.05828264062
