iter	Passed	Remaining
0	1	1615
1	3	1620
2	5	1602
3	6	1626
4	8	1630
5	10	1655
6	12	1674
7	14	1674
8	16	1674
9	17	1671
10	19	1669
11	21	1674
12	23	1671
13	25	1668
14	26	1660
15	27	1596
16	29	1600
17	31	1600
18	33	1604
19	34	1605
20	36	1611
21	38	1616
22	40	1615
23	42	1614
24	44	1612
25	45	1609
26	46	1567
27	48	1564
28	49	1563
29	51	1566
30	53	1567
31	55	1567
32	57	1569
33	59	1575
34	61	1576
35	62	1577
36	64	1576
37	66	1580
38	68	1578
39	70	1580
40	72	1584
41	74	1582
42	76	1584
43	77	1584
44	79	1583
45	81	1583
46	83	1582
47	85	1580
48	87	1581
49	89	1584
50	90	1584
51	93	1587
52	94	1585
53	96	1584
54	98	1582
55	100	1582
56	102	1580
57	103	1579
58	105	1576
59	107	1574
60	109	1572
61	111	1571
62	112	1570
63	114	1569
64	116	1568
65	118	1569
66	120	1567
67	122	1568
68	124	1567
69	126	1565
70	127	1563
71	129	1563
72	131	1563
73	133	1562
74	135	1560
75	137	1561
76	139	1560
77	141	1562
78	143	1561
79	145	1559
80	147	1557
81	149	1557
82	150	1555
83	152	1554
84	154	1553
85	156	1551
86	158	1549
87	158	1536
88	160	1534
89	162	1532
90	164	1530
91	166	1528
92	167	1527
93	169	1525
94	171	1525
95	173	1523
96	175	1522
97	177	1521
98	179	1520
99	180	1518
100	181	1508
101	183	1506
102	185	1505
103	187	1503
104	189	1502
105	190	1500
106	193	1502
107	195	1500
108	196	1498
109	198	1497
110	200	1495
111	202	1496
112	204	1496
113	206	1494
114	208	1493
115	210	1491
116	211	1488
117	213	1487
118	215	1485
119	217	1484
120	219	1482
121	221	1481
122	223	1479
123	224	1478
124	226	1477
125	228	1475
126	230	1473
127	232	1472
128	234	1471
129	236	1468
130	237	1466
131	239	1464
132	241	1462
133	243	1461
134	245	1459
135	246	1457
136	248	1456
137	249	1446
138	251	1445
139	252	1443
140	254	1440
141	256	1439
142	258	1437
143	260	1436
144	262	1435
145	264	1434
146	265	1432
147	267	1431
148	269	1429
149	271	1427
150	273	1426
151	275	1424
152	276	1422
153	278	1420
154	280	1418
155	282	1416
156	283	1414
157	285	1412
158	287	1410
159	289	1409
160	291	1408
161	293	1406
162	295	1404
163	296	1402
164	298	1401
165	300	1399
166	302	1397
167	304	1395
168	305	1394
169	307	1392
170	309	1390
171	311	1388
172	313	1386
173	315	1385
174	316	1382
175	318	1381
176	320	1379
177	322	1377
178	324	1377
179	326	1375
180	328	1374
181	329	1372
182	331	1371
183	332	1365
184	334	1364
185	336	1362
186	338	1361
187	340	1359
188	342	1357
189	344	1356
190	346	1355
191	347	1353
192	349	1351
193	351	1349
194	353	1347
195	354	1345
196	356	1344
197	358	1342
198	360	1340
199	362	1339
200	364	1337
201	366	1336
202	368	1334
203	369	1332
204	371	1330
205	373	1329
206	375	1327
207	377	1326
208	379	1324
209	380	1322
210	382	1320
211	384	1318
212	386	1316
213	388	1314
214	389	1312
215	391	1311
216	393	1309
217	395	1307
218	397	1306
219	399	1305
220	401	1303
221	403	1301
222	404	1299
223	406	1298
224	408	1296
225	410	1294
226	412	1292
227	413	1290
228	415	1289
229	417	1287
230	419	1286
231	421	1283
232	423	1282
233	424	1280
234	426	1278
235	428	1276
236	430	1274
237	432	1273
238	434	1271
239	435	1269
240	437	1267
241	439	1266
242	441	1264
243	443	1262
244	445	1260
245	446	1259
246	448	1257
247	450	1255
248	452	1254
249	454	1252
250	456	1251
251	458	1249
252	460	1248
253	462	1246
254	463	1244
255	465	1242
256	467	1241
257	469	1239
258	471	1237
259	473	1235
260	474	1233
261	476	1231
262	478	1229
263	480	1227
264	482	1225
265	483	1224
266	485	1222
267	487	1221
268	489	1219
269	491	1217
270	493	1215
271	495	1214
272	496	1212
273	498	1210
274	500	1208
275	502	1207
276	504	1205
277	506	1203
278	507	1201
279	509	1200
280	511	1198
281	513	1196
282	515	1194
283	517	1192
284	518	1190
285	520	1188
286	522	1187
287	524	1185
288	526	1183
289	528	1181
290	529	1180
291	531	1178
292	533	1176
293	535	1174
294	537	1172
295	538	1170
296	540	1168
297	542	1167
298	544	1165
299	546	1163
300	547	1161
301	549	1159
302	551	1157
303	553	1156
304	555	1154
305	557	1152
306	558	1150
307	560	1148
308	562	1146
309	564	1145
310	566	1143
311	568	1142
312	570	1140
313	571	1138
314	573	1136
315	575	1134
316	577	1133
317	579	1131
318	581	1129
319	583	1127
320	584	1125
321	586	1124
322	588	1122
323	590	1120
324	592	1118
325	594	1117
326	595	1115
327	597	1113
328	599	1111
329	601	1109
330	603	1108
331	604	1105
332	606	1103
333	608	1102
334	610	1100
335	612	1098
336	613	1096
337	615	1094
338	617	1092
339	619	1091
340	621	1089
341	623	1087
342	624	1085
343	626	1083
344	628	1081
345	630	1080
346	632	1078
347	633	1076
348	635	1074
349	637	1072
350	639	1071
351	641	1069
352	643	1067
353	644	1065
354	646	1063
355	648	1062
356	650	1060
357	652	1058
358	653	1056
359	655	1054
360	657	1053
361	659	1051
362	661	1049
363	663	1047
364	665	1046
365	666	1044
366	668	1042
367	670	1040
368	672	1039
369	674	1037
370	676	1035
371	678	1033
372	679	1031
373	681	1029
374	683	1028
375	685	1026
376	687	1024
377	689	1022
378	690	1020
379	692	1018
380	694	1017
381	696	1015
382	698	1013
383	700	1011
384	701	1010
385	703	1008
386	705	1006
387	707	1004
388	709	1002
389	710	1000
390	712	998
391	714	997
392	716	995
393	718	993
394	719	991
395	721	989
396	723	988
397	725	986
398	727	984
399	729	982
400	730	980
401	733	979
402	734	977
403	736	975
404	738	973
405	740	971
406	742	970
407	744	968
408	745	966
409	747	964
410	749	962
411	751	961
412	753	959
413	754	957
414	756	955
415	758	953
416	760	952
417	762	950
418	764	948
419	766	946
420	767	944
421	769	943
422	771	941
423	773	939
424	775	937
425	777	935
426	778	933
427	780	931
428	782	930
429	784	928
430	786	926
431	787	924
432	789	922
433	791	921
434	793	919
435	795	917
436	797	915
437	799	914
438	801	912
439	802	910
440	804	908
441	806	906
442	808	904
443	809	903
444	811	901
445	813	899
446	815	897
447	817	895
448	819	893
449	821	892
450	822	890
451	824	888
452	826	886
453	828	885
454	830	883
455	832	881
456	834	879
457	835	877
458	837	876
459	839	874
460	841	872
461	843	870
462	845	868
463	847	867
464	849	865
465	850	863
466	852	861
467	854	860
468	856	858
469	858	856
470	860	854
471	862	853
472	864	851
473	866	849
474	867	847
475	869	846
476	871	844
477	873	842
478	875	840
479	877	838
480	879	837
481	880	835
482	882	833
483	884	831
484	886	829
485	888	828
486	890	826
487	892	824
488	894	822
489	895	820
490	897	819
491	899	817
492	901	815
493	903	813
494	905	811
495	907	810
496	908	808
497	910	806
498	912	804
499	914	802
500	916	801
501	917	799
502	919	797
503	921	795
504	923	793
505	925	791
506	927	789
507	928	788
508	930	786
509	932	784
510	934	782
511	936	780
512	938	779
513	939	777
514	941	775
515	943	773
516	945	771
517	947	769
518	949	768
519	951	766
520	953	764
521	954	762
522	956	760
523	958	759
524	960	757
525	962	755
526	964	753
527	965	751
528	967	749
529	969	748
530	971	746
531	973	744
532	974	742
533	977	741
534	978	739
535	980	737
536	982	735
537	984	733
538	986	731
539	988	730
540	989	728
541	991	726
542	993	724
543	995	722
544	997	720
545	998	719
546	1000	717
547	1002	715
548	1004	713
549	1006	711
550	1007	709
551	1009	707
552	1011	706
553	1013	704
554	1015	702
555	1017	700
556	1018	698
557	1020	696
558	1022	695
559	1024	693
560	1026	691
561	1028	689
562	1029	687
563	1031	685
564	1033	684
565	1035	682
566	1037	680
567	1039	678
568	1040	676
569	1042	675
570	1044	673
571	1046	671
572	1048	669
573	1050	667
574	1051	665
575	1053	664
576	1055	662
577	1057	660
578	1059	658
579	1061	656
580	1062	654
581	1064	653
582	1066	651
583	1068	649
584	1070	647
585	1072	645
586	1073	643
587	1075	642
588	1077	640
589	1079	638
590	1081	636
591	1082	634
592	1084	632
593	1086	631
594	1088	629
595	1090	627
596	1092	625
597	1093	623
598	1095	621
599	1097	620
600	1099	618
601	1101	616
602	1102	614
603	1104	612
604	1106	610
605	1108	609
606	1110	607
607	1111	605
608	1113	603
609	1115	601
610	1117	599
611	1119	597
612	1120	596
613	1122	594
614	1124	592
615	1126	590
616	1128	588
617	1130	586
618	1131	585
619	1133	583
620	1135	581
621	1137	579
622	1139	577
623	1141	575
624	1142	574
625	1144	572
626	1146	570
627	1148	568
628	1149	566
629	1151	564
630	1153	563
631	1155	561
632	1157	559
633	1159	557
634	1161	555
635	1163	554
636	1164	552
637	1166	550
638	1168	548
639	1170	546
640	1172	544
641	1173	543
642	1175	541
643	1177	539
644	1179	537
645	1181	535
646	1182	533
647	1184	532
648	1186	530
649	1188	528
650	1190	526
651	1191	524
652	1193	522
653	1195	520
654	1197	519
655	1199	517
656	1200	515
657	1202	513
658	1204	511
659	1206	509
660	1208	508
661	1210	506
662	1211	504
663	1213	502
664	1215	500
665	1217	499
666	1219	497
667	1221	495
668	1223	493
669	1225	491
670	1226	490
671	1228	488
672	1230	486
673	1232	484
674	1234	482
675	1236	480
676	1238	479
677	1239	477
678	1241	475
679	1243	473
680	1245	471
681	1247	470
682	1249	468
683	1250	466
684	1252	464
685	1254	462
686	1256	460
687	1258	459
688	1260	457
689	1261	455
690	1263	453
691	1265	451
692	1267	449
693	1269	448
694	1271	446
695	1272	444
696	1274	442
697	1276	440
698	1278	438
699	1280	437
700	1282	435
701	1284	433
702	1285	431
703	1287	429
704	1289	428
705	1291	426
706	1293	424
707	1294	422
708	1296	420
709	1298	418
710	1300	416
711	1302	415
712	1303	413
713	1305	411
714	1307	409
715	1309	407
716	1311	405
717	1313	404
718	1315	402
719	1316	400
720	1318	398
721	1320	396
722	1322	395
723	1324	393
724	1326	391
725	1328	389
726	1329	387
727	1331	385
728	1333	384
729	1335	382
730	1337	380
731	1338	378
732	1340	376
733	1342	374
734	1344	373
735	1346	371
736	1348	369
737	1349	367
738	1351	365
739	1353	364
740	1355	362
741	1357	360
742	1359	358
743	1361	356
744	1362	354
745	1364	353
746	1366	351
747	1368	349
748	1370	347
749	1372	345
750	1373	343
751	1375	342
752	1377	340
753	1379	338
754	1381	336
755	1382	334
756	1384	332
757	1386	331
758	1388	329
759	1390	327
760	1391	325
761	1393	323
762	1395	321
763	1397	320
764	1399	318
765	1401	316
766	1403	314
767	1404	312
768	1406	310
769	1408	309
770	1410	307
771	1412	305
772	1413	303
773	1415	301
774	1417	299
775	1419	298
776	1421	296
777	1423	294
778	1425	292
779	1427	290
780	1428	289
781	1430	287
782	1432	285
783	1434	283
784	1436	281
785	1438	279
786	1439	278
787	1441	276
788	1443	274
789	1445	272
790	1447	270
791	1449	268
792	1451	267
793	1452	265
794	1454	263
795	1456	261
796	1458	259
797	1460	257
798	1461	256
799	1463	254
800	1465	252
801	1467	250
802	1469	248
803	1470	246
804	1472	245
805	1474	243
806	1476	241
807	1478	239
808	1480	237
809	1482	236
810	1484	234
811	1486	232
812	1488	230
813	1489	228
814	1491	226
815	1493	225
816	1495	223
817	1497	221
818	1499	219
819	1501	217
820	1502	216
821	1504	214
822	1506	212
823	1508	210
824	1510	208
825	1512	206
826	1514	205
827	1516	203
828	1517	201
829	1519	199
830	1521	197
831	1523	195
832	1525	194
833	1527	192
834	1529	190
835	1531	188
836	1532	186
837	1534	184
838	1536	183
839	1538	181
840	1540	179
841	1542	177
842	1544	175
843	1545	174
844	1547	172
845	1549	170
846	1551	168
847	1552	166
848	1554	164
849	1556	162
850	1558	161
851	1560	159
852	1562	157
853	1563	155
854	1565	153
855	1567	152
856	1569	150
857	1571	148
858	1573	146
859	1574	144
860	1576	142
861	1578	140
862	1580	139
863	1581	137
864	1583	135
865	1585	133
866	1587	131
867	1589	129
868	1591	128
869	1592	126
870	1594	124
871	1596	122
872	1598	120
873	1600	119
874	1602	117
875	1603	115
876	1605	113
877	1607	111
878	1609	109
879	1610	108
880	1612	106
881	1614	104
882	1616	102
883	1618	100
884	1620	98
885	1621	97
886	1623	95
887	1625	93
888	1627	91
889	1629	89
890	1631	87
891	1633	86
892	1634	84
893	1636	82
894	1638	80
895	1640	78
896	1642	76
897	1643	75
898	1645	73
899	1647	71
900	1649	69
901	1650	67
902	1652	65
903	1654	64
904	1656	62
905	1658	60
906	1660	58
907	1661	56
908	1663	54
909	1665	53
910	1667	51
911	1669	49
912	1671	47
913	1673	45
914	1675	43
915	1676	42
916	1678	40
917	1680	38
918	1682	36
919	1684	34
920	1686	32
921	1687	31
922	1689	29
923	1691	27
924	1693	25
925	1695	23
926	1697	21
927	1699	20
928	1701	18
929	1702	16
930	1704	14
931	1706	12
932	1708	10
933	1710	9
934	1712	7
935	1714	5
936	1716	3
937	1717	1
938	1719	0
